"repo","status","file_size_mb","date"
"califano-lab/ARACNe-AP","success",6.21,"2026-08-18"
"snap-stanford/biomni","success",0.98,"2026-08-18"
"Teichlab/cellphonedb","success",13.22,"2026-08-18"
"peterawe/CMScaller","success",5.98,"2026-08-18"
"cBioPortal/cgdsr","success",0.03,"2026-08-18"
"peterawe/CMScaller","success",5.98,"2026-08-18"
"dylkot/cNMF","success",4.18,"2026-08-18"
"cran/colorfulVennPlot","success",0.02,"2026-08-18"
"binderh/CoxBoost","success",0.13,"2026-08-18"
"matanhofree/crc-immune-hubs","success",87.46,"2026-08-18"
"zzwch/crosslink","success",8.31,"2026-08-18"
"matt-black/dcapy","success",0.06,"2026-08-18"
"raerose01/deconstructSigs","success",5.94,"2026-08-18"
"NKI-CCB/DISCOVER","success",0.35,"2026-08-18"
"chrisamiller/fishplot","success",0.03,"2026-08-18"
"jespermaag/gganatogram","success",60.29,"2026-08-18"
"GuangchuangYu/gglayer","success",0.13,"2026-08-18"
"fawda123/ggord","success",2.89,"2026-08-18"
"IndrajeetPatil/ggstatsplot","success",7.66,"2026-08-18"
"nicholasehamilton/ggtern","success",0.15,"2026-08-18"
"gaospecial/ggVennDiagram","success",1.2,"2026-08-18"
"lydiaMyr/ImmuCellAI@main","failed_no_branch",0,"2026-08-18"
"Gibbsdavidl/Immune-Subtype-Clustering","failed_no_branch",203.64298248291,"2026-08-18"
"Gibbsdavidl/ImmuneSubtypeClassifier","success",53.91,"2026-08-18"
"icbi-lab/Immunophenogram","success",0.66,"2026-08-18"
"wanyewang1/Index_model","success",9.3,"2026-08-18"
"IOBR/IOBR","success",2.78,"2026-08-18"
"linnarsson-lab/ipynb-lamanno2016","success",27.75,"2026-08-18"
"tpq/kpmt","failed_no_branch",0,"2026-08-18"
"taoliu/MACS","failed_no_branch",191.617707252502,"2026-08-18"
"KrishnaswamyLab/MAGIC","success",30.06,"2026-08-18"
"richie2019/MBpanel","failed_no_branch",0,"2026-08-18"
"ebecht/MCPcounter","success",0.09,"2026-08-18"
"mg14/mg14","success",0.02,"2026-08-18"
"l-magnificence/Mime","success",33.87,"2026-08-18"
"cole-trapnell-lab/monocle-release","success",9.28,"2026-08-18"
"Simon-Coetzee/motifBreakR","success",1.96,"2026-08-18"
"xlucpu/MOVICS","success",77.18,"2026-08-18"
"inutano/pfastq-dump","success",0,"2026-08-18"
"paulgeeleher/pRRophetic","success",0.4,"2026-08-18"
"paulgeeleher/pRRophetic2","success",0.13,"2026-08-18"
"fbertran/plsRcox","success",9.12,"2026-08-18"
"aertslab/pySCENIC","success",26.47,"2026-08-18"
"ropensci/rentrez","success",0.12,"2026-08-18"
"woobe/rPlotter","success",0.02,"2026-08-18"
"rsankowski/sankowski-et-al-microglia","failed_no_branch",103.344506263733,"2026-08-18"
"satijalab/seurat-data","success",0.04,"2026-08-18"
"johncolby/SVM-RFE","success",0.24,"2026-08-18"
"rfordatascience/tidytuesday","failed_no_branch",0,"2026-08-18"
"spren9er/tidytuesday","failed_no_branch",256.019680976868,"2026-08-18"
"lmcinnes/umap","success",44.69,"2026-08-18"
"BITS-VIB/venn-tools","success",0.28,"2026-08-18"
"FredHutch/Galeano-Nino-Bullman-Intratumoral-Microbiota_2022","success",1.76,"2026-08-18"
