"repo","status","file_size_mb","date"
"califano-lab/ARACNe-AP","success",6.21,"2025-11-18"
"snap-stanford/biomni","success",0.73,"2025-11-18"
"Teichlab/cellphonedb","success",13.22,"2025-11-18"
"peterawe/CMScaller","success",5.98,"2025-11-18"
"cBioPortal/cgdsr","success",0.03,"2025-11-18"
"peterawe/CMScaller","success",5.98,"2025-11-18"
"dylkot/cNMF","success",4.18,"2025-11-18"
"cran/colorfulVennPlot","success",0.02,"2025-11-18"
"binderh/CoxBoost","success",0.12,"2025-11-18"
"matanhofree/crc-immune-hubs","success",87.46,"2025-11-18"
"zzwch/crosslink","success",8.31,"2025-11-18"
"matt-black/dcapy","success",0.06,"2025-11-18"
"raerose01/deconstructSigs","success",5.94,"2025-11-18"
"NKI-CCB/DISCOVER","success",0.35,"2025-11-18"
"chrisamiller/fishplot","success",0.03,"2025-11-18"
"jespermaag/gganatogram","success",60.29,"2025-11-18"
"GuangchuangYu/gglayer","success",0.13,"2025-11-18"
"fawda123/ggord","success",2.89,"2025-11-18"
"IndrajeetPatil/ggstatsplot","success",11.59,"2025-11-18"
"nicholasehamilton/ggtern","success",0.15,"2025-11-18"
"gaospecial/ggVennDiagram","success",1.2,"2025-11-18"
"lydiaMyr/ImmuCellAI@main","failed_no_branch",0,"2025-11-18"
"Gibbsdavidl/Immune-Subtype-Clustering","failed_no_branch",203.64298248291,"2025-11-18"
"Gibbsdavidl/ImmuneSubtypeClassifier","success",11.54,"2025-11-18"
"icbi-lab/Immunophenogram","success",0.66,"2025-11-18"
"wanyewang1/Index_model","success",9.3,"2025-11-18"
"IOBR/IOBR","success",31.35,"2025-11-18"
"linnarsson-lab/ipynb-lamanno2016","success",27.75,"2025-11-18"
"tpq/kpmt","failed_no_branch",0,"2025-11-18"
"taoliu/MACS","failed_no_branch",191.260261535645,"2025-11-18"
"KrishnaswamyLab/MAGIC","success",30.06,"2025-11-18"
"richie2019/MBpanel","failed_no_branch",0,"2025-11-18"
"ebecht/MCPcounter","success",0.09,"2025-11-18"
"mg14/mg14","success",0.02,"2025-11-18"
"l-magnificence/Mime","success",33.87,"2025-11-18"
"cole-trapnell-lab/monocle-release","success",9.28,"2025-11-18"
"Simon-Coetzee/motifBreakR","success",1.96,"2025-11-18"
"xlucpu/MOVICS","success",77.18,"2025-11-18"
"inutano/pfastq-dump","success",0,"2025-11-18"
"paulgeeleher/pRRophetic","success",0.4,"2025-11-18"
"paulgeeleher/pRRophetic2","success",0.13,"2025-11-18"
"fbertran/plsRcox","success",8.31,"2025-11-18"
"aertslab/pySCENIC","success",26.47,"2025-11-18"
"ropensci/rentrez","success",0.12,"2025-11-18"
"woobe/rPlotter","success",0.02,"2025-11-18"
"rsankowski/sankowski-et-al-microglia","failed_no_branch",103.344506263733,"2025-11-18"
"satijalab/seurat-data","success",0.04,"2025-11-18"
"johncolby/SVM-RFE","success",0.24,"2025-11-18"
"rfordatascience/tidytuesday","failed_no_branch",0,"2025-11-18"
"spren9er/tidytuesday","failed_no_branch",256.019680976868,"2025-11-18"
"lmcinnes/umap","success",44.69,"2025-11-18"
"BITS-VIB/venn-tools","success",0.28,"2025-11-18"
"FredHutch/Galeano-Nino-Bullman-Intratumoral-Microbiota_2022","success",1.76,"2025-11-18"
